TradingDate,open,high,low,close,exclose,volume
2019-07-05 10:14:00,1.235,1.26,1.225,1.225,1.225,2149
2019-07-05 10:15:00,1.22,1.255,1.22,1.23,1.23,2163
2019-07-05 10:16:00,1.23,1.23,1.17,1.185,1.185,2163
2019-07-05 10:17:00,1.17,1.18,1.15,1.17,1.17,2164
2019-07-05 10:18:00,1.165,1.165,1.135,1.155,1.155,2176
2019-07-05 10:19:00,1.16,1.26,1.16,1.26,1.26,2281
2019-07-05 10:20:00,1.26,1.26,1.175,1.175,1.175,2298
2019-07-05 10:21:00,1.175,1.185,1.15,1.175,1.175,2305
2019-07-05 10:22:00,1.175,1.205,1.165,1.165,1.165,2523
2019-07-05 10:23:00,1.155,1.165,1.135,1.15,1.15,2785
2019-07-05 10:24:00,1.155,1.16,1.135,1.145,1.145,3030
2019-07-05 10:25:00,1.145,1.215,1.135,1.21,1.21,3162
2019-07-05 10:26:00,1.185,1.19,1.115,1.135,1.135,3198
2019-07-05 10:27:00,1.145,1.18,1.145,1.16,1.16,3254
2019-07-05 10:28:00,1.165,1.165,1.125,1.125,1.125,3255
2019-07-05 10:29:00,1.13,1.14,1.105,1.105,1.105,3255
2019-07-05 10:30:00,1.105,1.12,1.105,1.11,1.11,3257
2019-07-05 10:31:00,1.13,1.135,1.105,1.13,1.13,3372
2019-07-05 10:32:00,1.13,1.14,1.105,1.11,1.11,3374
2019-07-05 10:33:00,1.11,1.125,1.11,1.12,1.12,3375
2019-07-05 10:34:00,1.12,1.12,1.08,1.08,1.08,3384
2019-07-05 10:35:00,1.08,1.085,1.055,1.055,1.055,3525
2019-07-05 10:36:00,1.065,1.065,1.04,1.045,1.045,3572
2019-07-05 10:37:00,1.04,1.08,1.04,1.065,1.065,3586
2019-07-05 10:38:00,1.065,1.08,1.06,1.065,1.065,3608
2019-07-05 10:39:00,1.065,1.075,1.045,1.05,1.05,3628
2019-07-05 10:40:00,1.03,1.065,1.03,1.035,1.035,3779
2019-07-05 10:41:00,1.035,1.045,1.025,1.025,1.025,3878
2019-07-05 10:42:00,1.025,1.04,1.02,1.03,1.03,3892
2019-07-05 10:43:00,1.025,1.045,1.005,1.005,1.005,3918
2019-07-05 10:44:00,1.01,1.01,0.985,0.985,0.985,3948
2019-07-05 10:45:00,0.99,0.99,0.96,0.965,0.965,4028
2019-07-05 10:46:00,0.965,1.0,0.96,1.0,1.0,4040
2019-07-05 10:47:00,1.0,1.06,1.0,1.06,1.06,4055
2019-07-05 10:48:00,1.075,1.085,1.075,1.085,1.085,4059
2019-07-05 10:49:00,1.085,1.09,1.065,1.065,1.065,4165
2019-07-05 10:50:00,1.075,1.115,1.075,1.115,1.115,4176
2019-07-05 10:51:00,1.115,1.13,1.11,1.115,1.115,4373
2019-07-05 10:52:00,1.11,1.165,1.11,1.145,1.145,4494
2019-07-05 10:53:00,1.145,1.155,1.135,1.155,1.155,4502
2019-07-05 10:54:00,1.155,1.155,1.13,1.13,1.13,4544
2019-07-05 10:55:00,1.13,1.135,1.095,1.095,1.095,4763
